Subject,Start Date,Start Time,End Date,End Time,Description,Location
ME-513/Forel/01,2015-01-07,09:15,2015-01-07,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-01-14,09:15,2015-01-14,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-01-21,09:15,2015-01-21,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-01-28,09:15,2015-01-28,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-02-04,09:15,2015-02-04,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-02-11,09:15,2015-02-11,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-02-18,09:15,2015-02-18,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-02-25,09:15,2015-02-25,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-03-04,09:15,2015-03-04,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-03-11,09:15,2015-03-11,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-03-18,09:15,2015-03-18,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-03-25,09:15,2015-03-25,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-04-08,09:15,2015-04-08,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-04-15,09:15,2015-04-15,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-04-22,09:15,2015-04-22,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-04-29,09:15,2015-04-29,15:00,Johnsen, Hans Chr G.,CG-C3 094
ME-513/Forel/01,2015-05-06,09:15,2015-05-06,15:00,Johnsen, Hans Chr G.,CG-C3 094
